,Period,espresso Lungo Sales,cappuccino classic Sales,Caramel flavor syrup Sales,Latte Classic Sales,cappuccino Grande Sales,Espresso with cream Sales,espresso classic Sales,Hazelnut flavor syrup Sales
297,26/10/2012,89.0,69.0,34.0,23.0,12.0,15.0,22.0,36.0
298,27/10/2012,0.0,10.0,4.0,4.0,1.0,0.0,0.0,0.0
299,28/10/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,29/10/2012,72.0,67.0,22.0,15.0,11.0,14.0,17.0,22.0
301,30/10/2012,66.0,55.0,28.0,20.0,15.0,17.0,34.0,34.0
302,31/10/2012,73.0,87.0,56.0,30.0,22.0,20.0,27.0,8.0
303,01/11/2012,68.0,66.0,16.0,27.0,19.0,14.0,30.0,0.0
304,02/11/2012,85.0,82.0,22.0,14.0,16.0,13.0,29.0,18.0
305,03/11/2012,0.0,10.0,6.0,9.0,3.0,6.0,0.0,6.0
306,04/11/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
307,05/11/2012,63.0,83.0,28.0,22.0,16.0,27.0,36.0,16.0
308,06/11/2012,56.0,61.0,12.0,23.0,22.0,23.0,44.0,22.0
309,07/11/2012,57.0,67.0,20.0,16.0,19.0,16.0,31.0,24.0
310,08/11/2012,74.0,67.0,12.0,14.0,19.0,15.0,30.0,34.0
311,09/11/2012,71.0,66.0,18.0,19.0,15.0,9.0,22.0,20.0
312,10/11/2012,15.0,5.0,8.0,7.0,1.0,5.0,7.0,0.0
313,11/11/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,12/11/2012,61.0,62.0,11.0,24.0,12.0,11.0,37.0,24.0
315,13/11/2012,90.0,77.0,16.0,22.0,13.0,7.0,22.0,16.0
316,14/11/2012,71.0,58.0,22.0,20.0,11.0,10.0,37.0,44.0
317,15/11/2012,68.0,52.0,8.0,18.0,12.0,13.0,18.0,0.0
318,16/11/2012,74.0,48.0,14.0,19.0,7.0,14.0,22.0,10.0
319,17/11/2012,4.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0
320,18/11/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
321,19/11/2012,55.0,66.0,8.0,16.0,12.0,16.0,30.0,0.0
322,20/11/2012,58.0,55.0,10.0,16.0,13.0,11.0,32.0,18.0
323,21/11/2012,63.0,58.0,0.0,31.0,24.0,16.0,21.0,8.0
324,22/11/2012,49.0,52.0,4.0,14.0,10.0,7.0,24.0,4.0
325,23/11/2012,65.0,61.0,20.0,19.0,16.0,20.0,25.0,8.0
326,24/11/2012,7.0,5.0,8.0,0.0,1.0,3.0,2.0,4.0
327,25/11/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
328,26/11/2012,63.0,44.0,12.0,20.0,11.0,12.0,30.0,4.0
